Transaction Date,Debit,,Debit,,Semester average,,
1/22/25,,,18.87,,26.87326087,,
1/22/25,,,3.49,,26.87326087,,
1/21/25,,,5.99,,26.87326087,,
1/20/25,,,28.45,,26.87326087,,
1/17/25,,,73.07,,26.87326087,,
1/16/25,,,4.59,,26.87326087,,
1/15/25,,,16.03,,26.87326087,,
1/14/25,,,49.64,,26.87326087,,
1/14/25,,,4.99,,26.87326087,,
1/13/25,,,4.59,,26.87326087,,
1/12/25,,,147.96,,26.87326087,,
1/12/25,,,16.66,,26.87326087,,
1/11/25,,,8.58,,26.87326087,,
1/11/25,,,5.99,,26.87326087,,
1/10/25,,,22.48,,26.87326087,,
1/8/25,,,95.46,,26.87326087,,
1/7/25,,,2.99,,26.87326087,,
1/6/25,,,39.5,,26.87326087,,
1/6/25,,,4.59,,26.87326087,,
1/6/25,,,17.9,,26.87326087,,
1/6/25,,,15.93,,26.87326087,,
1/5/25,,,11.98,,26.87326087,,
12/12/24,6.49,,,,,28.374625,756.6566667
12/12/24,13.85,,,,,28.374625,
12/10/24,6.49,,,,,28.374625,
12/10/24,8.16,,,,,28.374625,
12/10/24,5.99,,,,,28.374625,
12/9/24,9.98,,,,,28.374625,
12/8/24,7.99,,,,,28.374625,
12/8/24,11.58,,,,,28.374625,
12/7/24,8.98,,,,,28.374625,
12/7/24,10.99,,,,,28.374625,
12/6/24,12.86,,,,,28.374625,
12/5/24,16.87,,,,,28.374625,80
12/4/24,17.48,,,,,28.374625,
12/4/24,9.47,,,,,28.374625,
12/4/24,4.59,,,,,28.374625,
12/3/24,243.8,,,,,28.374625,
12/3/24,5.99,,,,,28.374625,
12/2/24,8.61,,,,,28.374625,
12/1/24,2.49,,,,,28.374625,
12/1/24,9.99,,,,,28.374625,
11/24/24,54.79,,,,,28.374625,
11/24/24,25.48,,,,,28.374625,
11/24/24,12.41,,,,,28.374625,
11/24/24,4.59,,,,,28.374625,
11/23/24,30.62,,,,,28.374625,
11/22/24,33.46,,,,,28.374625,
11/21/24,5.99,,,,,28.374625,
11/21/24,16.47,,,,,28.374625,
11/19/24,6.49,,,,,28.374625,
11/18/24,8.58,,,,,28.374625,
11/16/24,147.84,,,,,28.374625,
11/13/24,13.95,,,,,28.374625,
11/13/24,21.9,,,,,28.374625,
11/13/24,78.32,,,,,28.374625,
11/13/24,9.55,,,,,28.374625,
11/11/24,29.18,,,,,28.374625,
11/9/24,4.59,,,,,28.374625,
11/7/24,5.99,,,,,28.374625,
11/7/24,112.41,,,,,28.374625,
11/7/24,10.47,,,,,28.374625,
11/6/24,4.59,,,,,28.374625,
11/5/24,18.98,,,,,28.374625,
11/5/24,5.99,,,,,28.374625,
11/4/24,25.96,,,,,28.374625,
11/5/24,50.29,,,,,28.374625,
11/3/24,28.88,,,,,28.374625,
11/3/24,4.59,,,,,28.374625,
11/2/24,15.97,,,,,28.374625,
11/1/24,2.49,,,,,28.374625,
11/1/24,127.99,,,,,28.374625,
10/31/24,7.29,,,,,28.374625,
10/30/24,10.98,,,,,28.374625,
10/30/24,31.73,,,,,28.374625,
10/29/24,9.98,,,,,28.374625,
10/29/24,168.79,,,,,28.374625,
10/29/24,52.41,,,,,28.374625,
10/27/24,24.53,,,,,28.374625,
10/27/24,9.99,,,,,28.374625,
10/25/24,43.28,,,,,28.374625,
10/26/24,4.59,,,,,28.374625,
10/25/24,24.66,,,,,28.374625,
10/24/24,12.98,,,,,28.374625,
10/23/24,5.99,,,,,28.374625,
10/23/24,4.59,,,,,28.374625,
10/22/24,57.62,,,,,28.374625,
10/22/24,168.3,,,,,28.374625,
10/21/24,22.46,,,,,28.374625,
10/21/24,11.98,,,,,28.374625,
10/21/24,15.98,,,,,28.374625,
10/21/24,15.98,,,,,28.374625,
10/21/24,4.59,,,,,28.374625,
10/20/24,10.47,,,,,28.374625,
10/19/24,10.69,,,,,28.374625,
10/18/24,49.83,,,,,28.374625,
10/17/24,20.57,,,,,28.374625,
10/16/24,18.46,,,,,28.374625,
10/16/24,4.59,,,,,28.374625,
10/14/24,18.46,,,,,28.374625,
10/13/24,42.36,,,,,28.374625,
10/10/24,44.38,,,,,28.374625,
